2014-10-10 03:40:26 startup archives install
2014-10-10 03:40:28 install dash <none> 0.5.5.1-7.4
2014-10-10 03:40:28 status half-installed dash 0.5.5.1-7.4
2014-10-10 03:40:28 status unpacked dash 0.5.5.1-7.4
2014-10-10 03:40:28 status unpacked dash 0.5.5.1-7.4
2014-10-10 03:40:28 install debconf <none> 1.5.36.1
2014-10-10 03:40:28 status half-installed debconf 1.5.36.1
2014-10-10 03:40:28 status unpacked debconf 1.5.36.1
2014-10-10 03:40:28 status unpacked debconf 1.5.36.1
2014-10-10 03:40:28 install debconf-i18n <none> 1.5.36.1
2014-10-10 03:40:28 status half-installed debconf-i18n 1.5.36.1
2014-10-10 03:40:28 status unpacked debconf-i18n 1.5.36.1
2014-10-10 03:40:28 status unpacked debconf-i18n 1.5.36.1
2014-10-10 03:40:28 install debianutils <none> 3.4
2014-10-10 03:40:28 status half-installed debianutils 3.4
2014-10-10 03:40:28 status unpacked debianutils 3.4
2014-10-10 03:40:28 status unpacked debianutils 3.4
2014-10-10 03:40:28 install diffutils <none> 1:3.0-1
2014-10-10 03:40:28 status half-installed diffutils 1:3.0-1
2014-10-10 03:40:28 status unpacked diffutils 1:3.0-1
2014-10-10 03:40:28 status unpacked diffutils 1:3.0-1
2014-10-10 03:40:28 upgrade dpkg 1.15.11 1.15.11
2014-10-10 03:40:28 status half-configured dpkg 1.15.11
2014-10-10 03:40:28 status unpacked dpkg 1.15.11
2014-10-10 03:40:28 status half-installed dpkg 1.15.11
2014-10-10 03:40:28 status half-installed dpkg 1.15.11
2014-10-10 03:40:28 status unpacked dpkg 1.15.11
2014-10-10 03:40:28 status unpacked dpkg 1.15.11
2014-10-10 03:40:28 install e2fslibs <none> 1.41.12-4stable1
2014-10-10 03:40:28 status half-installed e2fslibs 1.41.12-4stable1
2014-10-10 03:40:28 status unpacked e2fslibs 1.41.12-4stable1
2014-10-10 03:40:28 status unpacked e2fslibs 1.41.12-4stable1
2014-10-10 03:40:28 install e2fsprogs <none> 1.41.12-4stable1
2014-10-10 03:40:28 status half-installed e2fsprogs 1.41.12-4stable1
2014-10-10 03:40:28 status unpacked e2fsprogs 1.41.12-4stable1
2014-10-10 03:40:28 status unpacked e2fsprogs 1.41.12-4stable1
2014-10-10 03:40:28 install findutils <none> 4.4.2-1+b1
2014-10-10 03:40:28 status half-installed findutils 4.4.2-1+b1
2014-10-10 03:40:29 status unpacked findutils 4.4.2-1+b1
2014-10-10 03:40:29 status unpacked findutils 4.4.2-1+b1
2014-10-10 03:40:29 install gcc-4.4-base <none> 4.4.5-8
2014-10-10 03:40:29 status half-installed gcc-4.4-base 4.4.5-8
2014-10-10 03:40:29 status unpacked gcc-4.4-base 4.4.5-8
2014-10-10 03:40:29 status unpacked gcc-4.4-base 4.4.5-8
2014-10-10 03:40:29 install grep <none> 2.6.3-3+squeeze1
2014-10-10 03:40:29 status half-installed grep 2.6.3-3+squeeze1
2014-10-10 03:40:29 status unpacked grep 2.6.3-3+squeeze1
2014-10-10 03:40:29 status unpacked grep 2.6.3-3+squeeze1
2014-10-10 03:40:29 install gzip <none> 1.3.12-9+squeeze1
2014-10-10 03:40:29 status half-installed gzip 1.3.12-9+squeeze1
2014-10-10 03:40:29 status unpacked gzip 1.3.12-9+squeeze1
2014-10-10 03:40:29 status unpacked gzip 1.3.12-9+squeeze1
2014-10-10 03:40:29 install hostname <none> 3.04
2014-10-10 03:40:29 status half-installed hostname 3.04
2014-10-10 03:40:29 status unpacked hostname 3.04
2014-10-10 03:40:29 status unpacked hostname 3.04
2014-10-10 03:40:29 install initscripts <none> 2.88dsf-13.1+squeeze1
2014-10-10 03:40:29 status half-installed initscripts 2.88dsf-13.1+squeeze1
2014-10-10 03:40:29 status unpacked initscripts 2.88dsf-13.1+squeeze1
2014-10-10 03:40:29 status unpacked initscripts 2.88dsf-13.1+squeeze1
2014-10-10 03:40:29 install insserv <none> 1.14.0-2
2014-10-10 03:40:29 status half-installed insserv 1.14.0-2
2014-10-10 03:40:29 status unpacked insserv 1.14.0-2
2014-10-10 03:40:29 status unpacked insserv 1.14.0-2
2014-10-10 03:40:29 install libacl1 <none> 2.2.49-4
2014-10-10 03:40:29 status half-installed libacl1 2.2.49-4
2014-10-10 03:40:29 status unpacked libacl1 2.2.49-4
2014-10-10 03:40:29 status unpacked libacl1 2.2.49-4
2014-10-10 03:40:29 install libattr1 <none> 1:2.4.44-2
2014-10-10 03:40:29 status half-installed libattr1 1:2.4.44-2
2014-10-10 03:40:29 status unpacked libattr1 1:2.4.44-2
2014-10-10 03:40:29 status unpacked libattr1 1:2.4.44-2
2014-10-10 03:40:29 install libblkid1 <none> 2.17.2-9
2014-10-10 03:40:29 status half-installed libblkid1 2.17.2-9
2014-10-10 03:40:29 status unpacked libblkid1 2.17.2-9
2014-10-10 03:40:29 status unpacked libblkid1 2.17.2-9
2014-10-10 03:40:29 install libbz2-1.0 <none> 1.0.5-6+squeeze1
2014-10-10 03:40:29 status half-installed libbz2-1.0 1.0.5-6+squeeze1
2014-10-10 03:40:29 status unpacked libbz2-1.0 1.0.5-6+squeeze1
2014-10-10 03:40:29 status unpacked libbz2-1.0 1.0.5-6+squeeze1
2014-10-10 03:40:29 install libc-bin <none> 2.11.3-4+deb6u1
2014-10-10 03:40:29 status half-installed libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:29 status unpacked libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:29 status unpacked libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:29 upgrade libc6 2.11.3-4+deb6u1 2.11.3-4+deb6u1
2014-10-10 03:40:29 status half-configured libc6 2.11.3-4+deb6u1
2014-10-10 03:40:29 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:29 status half-installed libc6 2.11.3-4+deb6u1
2014-10-10 03:40:29 status half-installed libc6 2.11.3-4+deb6u1
2014-10-10 03:40:29 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:29 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:29 install libcomerr2 <none> 1.41.12-4stable1
2014-10-10 03:40:29 status half-installed libcomerr2 1.41.12-4stable1
2014-10-10 03:40:29 status unpacked libcomerr2 1.41.12-4stable1
2014-10-10 03:40:29 status unpacked libcomerr2 1.41.12-4stable1
2014-10-10 03:40:29 install libdb4.8 <none> 4.8.30-2
2014-10-10 03:40:29 status half-installed libdb4.8 4.8.30-2
2014-10-10 03:40:29 status unpacked libdb4.8 4.8.30-2
2014-10-10 03:40:29 status unpacked libdb4.8 4.8.30-2
2014-10-10 03:40:29 install libgcc1 <none> 1:4.4.5-8
2014-10-10 03:40:29 status half-installed libgcc1 1:4.4.5-8
2014-10-10 03:40:29 status unpacked libgcc1 1:4.4.5-8
2014-10-10 03:40:29 status unpacked libgcc1 1:4.4.5-8
2014-10-10 03:40:29 install liblocale-gettext-perl <none> 1.05-6
2014-10-10 03:40:29 status half-installed liblocale-gettext-perl 1.05-6
2014-10-10 03:40:29 status unpacked liblocale-gettext-perl 1.05-6
2014-10-10 03:40:29 status unpacked liblocale-gettext-perl 1.05-6
2014-10-10 03:40:29 install liblzma2 <none> 5.0.0-2
2014-10-10 03:40:29 status half-installed liblzma2 5.0.0-2
2014-10-10 03:40:29 status unpacked liblzma2 5.0.0-2
2014-10-10 03:40:29 status unpacked liblzma2 5.0.0-2
2014-10-10 03:40:29 install libncurses5 <none> 5.7+20100313-5
2014-10-10 03:40:29 status half-installed libncurses5 5.7+20100313-5
2014-10-10 03:40:29 status unpacked libncurses5 5.7+20100313-5
2014-10-10 03:40:29 status unpacked libncurses5 5.7+20100313-5
2014-10-10 03:40:29 install libpam-modules <none> 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status half-installed libpam-modules 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 install libpam-runtime <none> 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status half-installed libpam-runtime 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 install libpam0g <none> 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status half-installed libpam0g 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status unpacked libpam0g 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 status unpacked libpam0g 1.1.1-6.1+squeeze1
2014-10-10 03:40:29 install libselinux1 <none> 2.0.96-1
2014-10-10 03:40:29 status half-installed libselinux1 2.0.96-1
2014-10-10 03:40:29 status unpacked libselinux1 2.0.96-1
2014-10-10 03:40:29 status unpacked libselinux1 2.0.96-1
2014-10-10 03:40:29 install libsepol1 <none> 2.0.41-1
2014-10-10 03:40:29 status half-installed libsepol1 2.0.41-1
2014-10-10 03:40:29 status unpacked libsepol1 2.0.41-1
2014-10-10 03:40:29 status unpacked libsepol1 2.0.41-1
2014-10-10 03:40:29 install libslang2 <none> 2.2.2-4
2014-10-10 03:40:29 status half-installed libslang2 2.2.2-4
2014-10-10 03:40:29 status unpacked libslang2 2.2.2-4
2014-10-10 03:40:29 status unpacked libslang2 2.2.2-4
2014-10-10 03:40:29 install libss2 <none> 1.41.12-4stable1
2014-10-10 03:40:29 status half-installed libss2 1.41.12-4stable1
2014-10-10 03:40:29 status unpacked libss2 1.41.12-4stable1
2014-10-10 03:40:29 status unpacked libss2 1.41.12-4stable1
2014-10-10 03:40:29 install libstdc++6 <none> 4.4.5-8
2014-10-10 03:40:29 status half-installed libstdc++6 4.4.5-8
2014-10-10 03:40:29 status unpacked libstdc++6 4.4.5-8
2014-10-10 03:40:29 status unpacked libstdc++6 4.4.5-8
2014-10-10 03:40:29 install libtext-charwidth-perl <none> 0.04-6
2014-10-10 03:40:29 status half-installed libtext-charwidth-perl 0.04-6
2014-10-10 03:40:29 status unpacked libtext-charwidth-perl 0.04-6
2014-10-10 03:40:29 status unpacked libtext-charwidth-perl 0.04-6
2014-10-10 03:40:29 install libtext-iconv-perl <none> 1.7-2
2014-10-10 03:40:29 status half-installed libtext-iconv-perl 1.7-2
2014-10-10 03:40:29 status unpacked libtext-iconv-perl 1.7-2
2014-10-10 03:40:30 status unpacked libtext-iconv-perl 1.7-2
2014-10-10 03:40:30 install libtext-wrapi18n-perl <none> 0.06-7
2014-10-10 03:40:30 status half-installed libtext-wrapi18n-perl 0.06-7
2014-10-10 03:40:30 status unpacked libtext-wrapi18n-perl 0.06-7
2014-10-10 03:40:30 status unpacked libtext-wrapi18n-perl 0.06-7
2014-10-10 03:40:30 install libuuid1 <none> 2.17.2-9
2014-10-10 03:40:30 status half-installed libuuid1 2.17.2-9
2014-10-10 03:40:30 status unpacked libuuid1 2.17.2-9
2014-10-10 03:40:30 status unpacked libuuid1 2.17.2-9
2014-10-10 03:40:30 install login <none> 1:4.1.4.2+svn3283-2+squeeze1
2014-10-10 03:40:30 status half-installed login 1:4.1.4.2+svn3283-2+squeeze1
2014-10-10 03:40:30 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2014-10-10 03:40:30 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2014-10-10 03:40:30 install lsb-base <none> 3.2-23.2squeeze1
2014-10-10 03:40:30 status half-installed lsb-base 3.2-23.2squeeze1
2014-10-10 03:40:30 status unpacked lsb-base 3.2-23.2squeeze1
2014-10-10 03:40:30 status unpacked lsb-base 3.2-23.2squeeze1
2014-10-10 03:40:30 upgrade mawk 1.3.3-15 1.3.3-15
2014-10-10 03:40:30 status half-configured mawk 1.3.3-15
2014-10-10 03:40:30 status unpacked mawk 1.3.3-15
2014-10-10 03:40:30 status half-installed mawk 1.3.3-15
2014-10-10 03:40:30 status half-installed mawk 1.3.3-15
2014-10-10 03:40:30 status unpacked mawk 1.3.3-15
2014-10-10 03:40:30 status unpacked mawk 1.3.3-15
2014-10-10 03:40:30 install mount <none> 2.17.2-9
2014-10-10 03:40:30 status half-installed mount 2.17.2-9
2014-10-10 03:40:30 status unpacked mount 2.17.2-9
2014-10-10 03:40:30 status unpacked mount 2.17.2-9
2014-10-10 03:40:30 install ncurses-base <none> 5.7+20100313-5
2014-10-10 03:40:30 status half-installed ncurses-base 5.7+20100313-5
2014-10-10 03:40:30 status unpacked ncurses-base 5.7+20100313-5
2014-10-10 03:40:30 status unpacked ncurses-base 5.7+20100313-5
2014-10-10 03:40:30 install ncurses-bin <none> 5.7+20100313-5
2014-10-10 03:40:30 status half-installed ncurses-bin 5.7+20100313-5
2014-10-10 03:40:30 status unpacked ncurses-bin 5.7+20100313-5
2014-10-10 03:40:30 status unpacked ncurses-bin 5.7+20100313-5
2014-10-10 03:40:30 install passwd <none> 1:4.1.4.2+svn3283-2+squeeze1
2014-10-10 03:40:30 status half-installed passwd 1:4.1.4.2+svn3283-2+squeeze1
2014-10-10 03:40:30 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2014-10-10 03:40:30 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2014-10-10 03:40:30 upgrade perl-base 5.10.1-17squeeze6 5.10.1-17squeeze6
2014-10-10 03:40:30 status half-configured perl-base 5.10.1-17squeeze6
2014-10-10 03:40:30 status unpacked perl-base 5.10.1-17squeeze6
2014-10-10 03:40:30 status half-installed perl-base 5.10.1-17squeeze6
2014-10-10 03:40:30 status half-installed perl-base 5.10.1-17squeeze6
2014-10-10 03:40:30 status unpacked perl-base 5.10.1-17squeeze6
2014-10-10 03:40:30 status unpacked perl-base 5.10.1-17squeeze6
2014-10-10 03:40:30 install sed <none> 4.2.1-7
2014-10-10 03:40:30 status half-installed sed 4.2.1-7
2014-10-10 03:40:30 status unpacked sed 4.2.1-7
2014-10-10 03:40:30 status unpacked sed 4.2.1-7
2014-10-10 03:40:30 install sensible-utils <none> 0.0.4
2014-10-10 03:40:30 status half-installed sensible-utils 0.0.4
2014-10-10 03:40:30 status unpacked sensible-utils 0.0.4
2014-10-10 03:40:30 status unpacked sensible-utils 0.0.4
2014-10-10 03:40:30 install sysv-rc <none> 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status half-installed sysv-rc 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 install sysvinit <none> 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status half-installed sysvinit 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 install sysvinit-utils <none> 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status half-installed sysvinit-utils 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2014-10-10 03:40:30 install tar <none> 1.23-3
2014-10-10 03:40:30 status half-installed tar 1.23-3
2014-10-10 03:40:30 status unpacked tar 1.23-3
2014-10-10 03:40:30 status unpacked tar 1.23-3
2014-10-10 03:40:30 install tzdata <none> 2014e-0squeeze1
2014-10-10 03:40:30 status half-installed tzdata 2014e-0squeeze1
2014-10-10 03:40:30 status unpacked tzdata 2014e-0squeeze1
2014-10-10 03:40:30 status unpacked tzdata 2014e-0squeeze1
2014-10-10 03:40:30 install util-linux <none> 2.17.2-9
2014-10-10 03:40:30 status half-installed util-linux 2.17.2-9
2014-10-10 03:40:30 status unpacked util-linux 2.17.2-9
2014-10-10 03:40:30 status unpacked util-linux 2.17.2-9
2014-10-10 03:40:30 install xz-utils <none> 5.0.0-2
2014-10-10 03:40:30 status half-installed xz-utils 5.0.0-2
2014-10-10 03:40:30 status unpacked xz-utils 5.0.0-2
2014-10-10 03:40:30 status unpacked xz-utils 5.0.0-2
2014-10-10 03:40:30 install zlib1g <none> 1:1.2.3.4.dfsg-3
2014-10-10 03:40:30 status half-installed zlib1g 1:1.2.3.4.dfsg-3
2014-10-10 03:40:30 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2014-10-10 03:40:30 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2014-10-10 03:40:30 startup packages configure
2014-10-10 03:40:30 configure ncurses-base 5.7+20100313-5 5.7+20100313-5
2014-10-10 03:40:30 status unpacked ncurses-base 5.7+20100313-5
2014-10-10 03:40:31 status unpacked ncurses-base 5.7+20100313-5
2014-10-10 03:40:31 status half-configured ncurses-base 5.7+20100313-5
2014-10-10 03:40:31 status installed ncurses-base 5.7+20100313-5
2014-10-10 03:40:31 configure sensible-utils 0.0.4 0.0.4
2014-10-10 03:40:31 status unpacked sensible-utils 0.0.4
2014-10-10 03:40:31 status half-configured sensible-utils 0.0.4
2014-10-10 03:40:31 status installed sensible-utils 0.0.4
2014-10-10 03:40:31 configure libc-bin 2.11.3-4+deb6u1 2.11.3-4+deb6u1
2014-10-10 03:40:31 status unpacked libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:31 status unpacked libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:31 status unpacked libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:31 status unpacked libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:31 status half-configured libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:31 status installed libc-bin 2.11.3-4+deb6u1
2014-10-10 03:40:31 configure gcc-4.4-base 4.4.5-8 4.4.5-8
2014-10-10 03:40:31 status unpacked gcc-4.4-base 4.4.5-8
2014-10-10 03:40:31 status half-configured gcc-4.4-base 4.4.5-8
2014-10-10 03:40:31 status installed gcc-4.4-base 4.4.5-8
2014-10-10 03:40:31 configure libc6 2.11.3-4+deb6u1 2.11.3-4+deb6u1
2014-10-10 03:40:31 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:31 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:31 status half-configured libc6 2.11.3-4+deb6u1
2014-10-10 03:40:32 status installed libc6 2.11.3-4+deb6u1
2014-10-10 03:40:32 configure debianutils 3.4 3.4
2014-10-10 03:40:32 status unpacked debianutils 3.4
2014-10-10 03:40:32 status half-configured debianutils 3.4
2014-10-10 03:40:32 status installed debianutils 3.4
2014-10-10 03:40:32 configure bsdutils 1:2.17.2-9 1:2.17.2-9
2014-10-10 03:40:32 status unpacked bsdutils 1:2.17.2-9
2014-10-10 03:40:32 status half-configured bsdutils 1:2.17.2-9
2014-10-10 03:40:32 status installed bsdutils 1:2.17.2-9
2014-10-10 03:40:32 configure libsepol1 2.0.41-1 2.0.41-1
2014-10-10 03:40:32 status unpacked libsepol1 2.0.41-1
2014-10-10 03:40:32 status half-configured libsepol1 2.0.41-1
2014-10-10 03:40:32 status installed libsepol1 2.0.41-1
2014-10-10 03:40:32 configure diffutils 1:3.0-1 1:3.0-1
2014-10-10 03:40:32 status unpacked diffutils 1:3.0-1
2014-10-10 03:40:32 status half-configured diffutils 1:3.0-1
2014-10-10 03:40:32 status installed diffutils 1:3.0-1
2014-10-10 03:40:32 configure tar 1.23-3 1.23-3
2014-10-10 03:40:32 status unpacked tar 1.23-3
2014-10-10 03:40:32 status unpacked tar 1.23-3
2014-10-10 03:40:32 status half-configured tar 1.23-3
2014-10-10 03:40:32 status installed tar 1.23-3
2014-10-10 03:40:32 configure zlib1g 1:1.2.3.4.dfsg-3 1:1.2.3.4.dfsg-3
2014-10-10 03:40:32 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2014-10-10 03:40:32 status half-configured zlib1g 1:1.2.3.4.dfsg-3
2014-10-10 03:40:32 status installed zlib1g 1:1.2.3.4.dfsg-3
2014-10-10 03:40:32 configure libgcc1 1:4.4.5-8 1:4.4.5-8
2014-10-10 03:40:32 status unpacked libgcc1 1:4.4.5-8
2014-10-10 03:40:32 status half-configured libgcc1 1:4.4.5-8
2014-10-10 03:40:32 status installed libgcc1 1:4.4.5-8
2014-10-10 03:40:32 configure libncurses5 5.7+20100313-5 5.7+20100313-5
2014-10-10 03:40:32 status unpacked libncurses5 5.7+20100313-5
2014-10-10 03:40:32 status half-configured libncurses5 5.7+20100313-5
2014-10-10 03:40:32 status installed libncurses5 5.7+20100313-5
2014-10-10 03:40:32 configure libattr1 1:2.4.44-2 1:2.4.44-2
2014-10-10 03:40:32 status unpacked libattr1 1:2.4.44-2
2014-10-10 03:40:32 status half-configured libattr1 1:2.4.44-2
2014-10-10 03:40:32 status installed libattr1 1:2.4.44-2
2014-10-10 03:40:32 configure e2fslibs 1.41.12-4stable1 1.41.12-4stable1
2014-10-10 03:40:32 status unpacked e2fslibs 1.41.12-4stable1
2014-10-10 03:40:32 status half-configured e2fslibs 1.41.12-4stable1
2014-10-10 03:40:32 status installed e2fslibs 1.41.12-4stable1
2014-10-10 03:40:32 configure base-passwd 3.5.22 3.5.22
2014-10-10 03:40:32 status unpacked base-passwd 3.5.22
2014-10-10 03:40:32 status half-configured base-passwd 3.5.22
2014-10-10 03:40:32 status installed base-passwd 3.5.22
2014-10-10 03:40:32 configure libcomerr2 1.41.12-4stable1 1.41.12-4stable1
2014-10-10 03:40:32 status unpacked libcomerr2 1.41.12-4stable1
2014-10-10 03:40:32 status half-configured libcomerr2 1.41.12-4stable1
2014-10-10 03:40:32 status installed libcomerr2 1.41.12-4stable1
2014-10-10 03:40:32 configure mawk 1.3.3-15 1.3.3-15
2014-10-10 03:40:32 status unpacked mawk 1.3.3-15
2014-10-10 03:40:32 status half-configured mawk 1.3.3-15
2014-10-10 03:40:32 status installed mawk 1.3.3-15
2014-10-10 03:40:32 configure libdb4.8 4.8.30-2 4.8.30-2
